Year,Month,Day,Hour,GHI
2000,1,1,0,0
2000,1,1,1,0
2000,1,1,2,0
2000,1,1,3,128
2000,1,1,4,337
2000,1,1,5,513
2000,1,1,6,640
2000,1,1,7,714
2000,1,1,8,695
2000,1,1,9,637
2000,1,1,10,509
2000,1,1,11,317
2000,1,1,12,103
2000,1,1,13,0
2000,1,1,14,0
2000,1,1,15,0
2000,1,1,16,0
2000,1,1,17,0
2000,1,1,18,0
2000,1,1,19,0
2000,1,1,20,0
2000,1,1,21,0
2000,1,1,22,0
2000,1,1,23,0
2000,1,2,0,0
2000,1,2,1,0
2000,1,2,2,0
2000,1,2,3,127
2000,1,2,4,333
2000,1,2,5,517
2000,1,2,6,641
2000,1,2,7,718
2000,1,2,8,715
2000,1,2,9,640
2000,1,2,10,502
2000,1,2,11,315
2000,1,2,12,106
2000,1,2,13,0
2000,1,2,14,0
2000,1,2,15,0
2000,1,2,16,0
2000,1,2,17,0
2000,1,2,18,0
2000,1,2,19,0
2000,1,2,20,0
2000,1,2,21,0
2000,1,2,22,0
2000,1,2,23,0
2000,1,3,0,0
2000,1,3,1,0
2000,1,3,2,0
2000,1,3,3,126
2000,1,3,4,332
2000,1,3,5,515
2000,1,3,6,649
2000,1,3,7,708
2000,1,3,8,715
2000,1,3,9,641
2000,1,3,10,503
2000,1,3,11,317
2000,1,3,12,103
2000,1,3,13,0
2000,1,3,14,0
2000,1,3,15,0
2000,1,3,16,0
2000,1,3,17,0
2000,1,3,18,0
2000,1,3,19,0
2000,1,3,20,0
2000,1,3,21,0
2000,1,3,22,0
2000,1,3,23,0
2000,1,4,0,0
2000,1,4,1,0
2000,1,4,2,0
2000,1,4,3,126
2000,1,4,4,333
2000,1,4,5,518
2000,1,4,6,653
2000,1,4,7,718
2000,1,4,8,689
2000,1,4,9,643
2000,1,4,10,499
2000,1,4,11,321
2000,1,4,12,107
2000,1,4,13,0
2000,1,4,14,0
2000,1,4,15,0
2000,1,4,16,0
2000,1,4,17,0
2000,1,4,18,0
2000,1,4,19,0
2000,1,4,20,0
2000,1,4,21,0
2000,1,4,22,0
2000,1,4,23,0
2000,1,5,0,0
2000,1,5,1,0
2000,1,5,2,0
2000,1,5,3,125
2000,1,5,4,333
2000,1,5,5,519
2000,1,5,6,639
2000,1,5,7,706
2000,1,5,8,726
