Year,Month,Day,Hour,GHI
2000,1,1,0,0
2000,1,1,1,0
2000,1,1,2,0
2000,1,1,3,0
2000,1,1,4,0
2000,1,1,5,0
2000,1,1,6,0
2000,1,1,7,138
2000,1,1,8,341
2000,1,1,9,535
2000,1,1,10,692
2000,1,1,11,851
2000,1,1,12,860
2000,1,1,13,834
2000,1,1,14,707
2000,1,1,15,425
2000,1,1,16,314
2000,1,1,17,74
2000,1,1,18,0
2000,1,1,19,0
2000,1,1,20,0
2000,1,1,21,0
2000,1,1,22,0
2000,1,1,23,0
2000,1,2,0,0
2000,1,2,1,0
2000,1,2,2,0
2000,1,2,3,0
2000,1,2,4,0
2000,1,2,5,0
2000,1,2,6,0
2000,1,2,7,132
2000,1,2,8,366
2000,1,2,9,585
2000,1,2,10,753
2000,1,2,11,856
2000,1,2,12,855
2000,1,2,13,813
2000,1,2,14,716
2000,1,2,15,536
2000,1,2,16,313
2000,1,2,17,87
2000,1,2,18,0
2000,1,2,19,0
2000,1,2,20,0
2000,1,2,21,0
2000,1,2,22,0
2000,1,2,23,0
2000,1,3,0,0
2000,1,3,1,0
2000,1,3,2,0
2000,1,3,3,0
2000,1,3,4,0
2000,1,3,5,0
2000,1,3,6,0
2000,1,3,7,134
2000,1,3,8,268
2000,1,3,9,301
2000,1,3,10,406
2000,1,3,11,501
2000,1,3,12,623
2000,1,3,13,507
2000,1,3,14,264
2000,1,3,15,266
2000,1,3,16,104
2000,1,3,17,17
2000,1,3,18,0
2000,1,3,19,0
2000,1,3,20,0
2000,1,3,21,0
2000,1,3,22,0
2000,1,3,23,0
2000,1,4,0,0
2000,1,4,1,0
2000,1,4,2,0
2000,1,4,3,0
2000,1,4,4,0
2000,1,4,5,0
2000,1,4,6,0
2000,1,4,7,131
2000,1,4,8,348
2000,1,4,9,564
2000,1,4,10,703
2000,1,4,11,833
2000,1,4,12,864
2000,1,4,13,820
2000,1,4,14,704
2000,1,4,15,529
2000,1,4,16,313
2000,1,4,17,61
2000,1,4,18,0
2000,1,4,19,0
2000,1,4,20,0
2000,1,4,21,0
2000,1,4,22,0
2000,1,4,23,0
2000,1,5,0,0
2000,1,5,1,0
2000,1,5,2,0
2000,1,5,3,0
2000,1,5,4,0
2000,1,5,5,0
2000,1,5,6,0
2000,1,5,7,130
2000,1,5,8,352
