date,GHI
2000-01-01 03:00:00,128
2000-01-01 04:00:00,337
2000-01-01 05:00:00,513
2000-01-01 06:00:00,640
2000-01-01 07:00:00,714
2000-01-01 08:00:00,695
2000-01-01 09:00:00,637
2000-01-01 10:00:00,509
2000-01-01 11:00:00,317
2000-01-01 12:00:00,103
2000-01-02 03:00:00,127
2000-01-02 04:00:00,333
2000-01-02 05:00:00,517
2000-01-02 06:00:00,641
2000-01-02 07:00:00,718
2000-01-02 08:00:00,715
2000-01-02 09:00:00,640
2000-01-02 10:00:00,502
2000-01-02 11:00:00,315
2000-01-02 12:00:00,106
2000-01-03 03:00:00,126
2000-01-03 04:00:00,332
2000-01-03 05:00:00,515
2000-01-03 06:00:00,649
2000-01-03 07:00:00,708
2000-01-03 08:00:00,715
2000-01-03 09:00:00,641
2000-01-03 10:00:00,503
2000-01-03 11:00:00,317
2000-01-03 12:00:00,103
2000-01-04 03:00:00,126
2000-01-04 04:00:00,333
2000-01-04 05:00:00,518
2000-01-04 06:00:00,653
2000-01-04 07:00:00,718
2000-01-04 08:00:00,689
2000-01-04 09:00:00,643
2000-01-04 10:00:00,499
2000-01-04 11:00:00,321
2000-01-04 12:00:00,107
2000-01-05 03:00:00,125
2000-01-05 04:00:00,333
2000-01-05 05:00:00,519
2000-01-05 06:00:00,639
2000-01-05 07:00:00,706
2000-01-05 08:00:00,726
2000-01-05 09:00:00,634
2000-01-05 10:00:00,503
2000-01-05 11:00:00,321
2000-01-05 12:00:00,104
2000-01-06 03:00:00,125
2000-01-06 04:00:00,332
2000-01-06 05:00:00,525
2000-01-06 06:00:00,661
2000-01-06 07:00:00,732
2000-01-06 08:00:00,731
2000-01-06 09:00:00,658
2000-01-06 10:00:00,519
2000-01-06 11:00:00,330
2000-01-06 12:00:00,113
2000-01-07 03:00:00,124
2000-01-07 04:00:00,334
2000-01-07 05:00:00,520
2000-01-07 06:00:00,656
2000-01-07 07:00:00,727
2000-01-07 08:00:00,714
2000-01-07 09:00:00,653
2000-01-07 10:00:00,516
2000-01-07 11:00:00,329
2000-01-07 12:00:00,111
2000-01-08 03:00:00,123
2000-01-08 04:00:00,326
2000-01-08 05:00:00,510
2000-01-08 06:00:00,646
2000-01-08 07:00:00,717
2000-01-08 08:00:00,693
2000-01-08 09:00:00,646
2000-01-08 10:00:00,511
2000-01-08 11:00:00,327
2000-01-08 12:00:00,114
2000-01-09 03:00:00,122
2000-01-09 04:00:00,325
2000-01-09 05:00:00,510
2000-01-09 06:00:00,646
2000-01-09 07:00:00,718
2000-01-09 08:00:00,719
2000-01-09 09:00:00,648
2000-01-09 10:00:00,514
2000-01-09 11:00:00,330
2000-01-09 12:00:00,118
2000-01-10 03:00:00,103
2000-01-10 04:00:00,284
2000-01-10 05:00:00,508
2000-01-10 06:00:00,644
2000-01-10 07:00:00,717
2000-01-10 08:00:00,719
2000-01-10 09:00:00,650
2000-01-10 10:00:00,516
2000-01-10 11:00:00,333
2000-01-10 12:00:00,121
2000-01-11 03:00:00,118
2000-01-11 04:00:00,298
2000-01-11 05:00:00,446
2000-01-11 06:00:00,643
2000-01-11 07:00:00,714
2000-01-11 08:00:00,718
2000-01-11 09:00:00,648
2000-01-11 10:00:00,515
2000-01-11 11:00:00,333
2000-01-11 12:00:00,130
2000-01-12 03:00:00,108
2000-01-12 04:00:00,194
2000-01-12 05:00:00,477
2000-01-12 06:00:00,631
2000-01-12 07:00:00,705
2000-01-12 08:00:00,709
2000-01-12 09:00:00,623
2000-01-12 10:00:00,514
2000-01-12 11:00:00,334
2000-01-12 12:00:00,129
2000-01-13 03:00:00,122
2000-01-13 04:00:00,329
2000-01-13 05:00:00,517
2000-01-13 06:00:00,656
2000-01-13 07:00:00,732
2000-01-13 08:00:00,736
2000-01-13 09:00:00,667
2000-01-13 10:00:00,533
2000-01-13 11:00:00,347
2000-01-13 12:00:00,139
2000-01-14 03:00:00,123
2000-01-14 04:00:00,339
2000-01-14 05:00:00,519
2000-01-14 06:00:00,651
2000-01-14 07:00:00,725
2000-01-14 08:00:00,754
2000-01-14 09:00:00,658
2000-01-14 10:00:00,529
2000-01-14 11:00:00,353
2000-01-14 12:00:00,131
2000-01-15 03:00:00,124
2000-01-15 04:00:00,336
2000-01-15 05:00:00,524
2000-01-15 06:00:00,660
2000-01-15 07:00:00,729
2000-01-15 08:00:00,723
2000-01-15 09:00:00,655
2000-01-15 10:00:00,534
2000-01-15 11:00:00,351
2000-01-15 12:00:00,135
2000-01-16 03:00:00,124
2000-01-16 04:00:00,337
2000-01-16 05:00:00,525
2000-01-16 06:00:00,650
2000-01-16 07:00:00,718
2000-01-16 08:00:00,720
2000-01-16 09:00:00,668
2000-01-16 10:00:00,523
2000-01-16 11:00:00,348
2000-01-16 12:00:00,132
2000-01-17 03:00:00,125
2000-01-17 04:00:00,334
2000-01-17 05:00:00,525
2000-01-17 06:00:00,653
2000-01-17 07:00:00,729
2000-01-17 08:00:00,732
2000-01-17 09:00:00,673
2000-01-17 10:00:00,544
2000-01-17 11:00:00,361
2000-01-17 12:00:00,143
2000-01-18 03:00:00,125
2000-01-18 04:00:00,335
2000-01-18 05:00:00,526
2000-01-18 06:00:00,668
2000-01-18 07:00:00,745
2000-01-18 08:00:00,738
2000-01-18 09:00:00,682
2000-01-18 10:00:00,548
2000-01-18 11:00:00,362
2000-01-18 12:00:00,147
2000-01-19 03:00:00,126
2000-01-19 04:00:00,338
2000-01-19 05:00:00,523
2000-01-19 06:00:00,665
2000-01-19 07:00:00,736
2000-01-19 08:00:00,748
2000-01-19 09:00:00,693
2000-01-19 10:00:00,558
2000-01-19 11:00:00,370
2000-01-19 12:00:00,144
2000-01-20 03:00:00,125
2000-01-20 04:00:00,335
2000-01-20 05:00:00,526
2000-01-20 06:00:00,662
2000-01-20 07:00:00,745
2000-01-20 08:00:00,749
2000-01-20 09:00:00,682
2000-01-20 10:00:00,549
2000-01-20 11:00:00,364
2000-01-20 12:00:00,148
2000-01-21 03:00:00,123
2000-01-21 04:00:00,330
2000-01-21 05:00:00,516
2000-01-21 06:00:00,662
2000-01-21 07:00:00,740
2000-01-21 08:00:00,684
2000-01-21 09:00:00,676
2000-01-21 10:00:00,547
2000-01-21 11:00:00,363
2000-01-21 12:00:00,152
2000-01-22 03:00:00,124
2000-01-22 04:00:00,333
2000-01-22 05:00:00,477
2000-01-22 06:00:00,666
2000-01-22 07:00:00,745
2000-01-22 08:00:00,753
2000-01-22 09:00:00,687
2000-01-22 10:00:00,555
2000-01-22 11:00:00,370
2000-01-22 12:00:00,157
